"contig" "path_class"
"c07797" "Translation"
"c07806" "Metabolism of cofactors and vitamins"
"c07859" "Transport and catabolism"
"c07909" "Glycan biosynthesis and metabolism"
"c07957" "Energy metabolism"
"c07981" "Metabolism of cofactors and vitamins"
"c08058" "Carbohydrate metabolism"
"c08065" "Lipid metabolism"
"c08131" "Metabolism of terpenoids and polyketides"
"c08159" "Transcription"
"c08241" "Xenobiotics biodegradation and metabolism"
"c08241" "Metabolism of other amino acids"
"c08251" "Amino acid metabolism"
"c08284" "Translation"
"c08296" "Energy metabolism"
"c08347" "Carbohydrate metabolism"
"c08408" "Carbohydrate metabolism"
"c08408" "Energy metabolism"
"c08437" "Carbohydrate metabolism"
"c08437" "Lipid metabolism"
"c08443" "Folding, sorting and degradation"
"c08458" "Folding, sorting and degradation"
"c08466" "Transport and catabolism"
"c08470" "Translation"
"c08608" "Carbohydrate metabolism"
"c08630" "Carbohydrate metabolism"
"c08630" "Energy metabolism"
"c08683" "Carbohydrate metabolism"
"c08689" "Folding, sorting and degradation"
"c08733" "Xenobiotics biodegradation and metabolism"
"c08733" "Amino acid metabolism"
"c08733" "Lipid metabolism"
"c08742" "Folding, sorting and degradation"
"c08762" "Membrane transport"
"c08803" "Metabolism of cofactors and vitamins"
"c08806" "Energy metabolism"
"c08806" "Carbohydrate metabolism"
"c08837" "Folding, sorting and degradation"
"c08861" "Carbohydrate metabolism"
"c08882" "Transcription"
"c08946" "Translation"
"c08967" "Transcription"
"c08979" "Xenobiotics biodegradation and metabolism"
"c08979" "Amino acid metabolism"
"c08979" "Lipid metabolism"
"c08986" "Transcription"
"c09104" "Lipid metabolism"
"c09125" "Metabolism of other amino acids"
"c09125" "Carbohydrate metabolism"
"c09161" "Folding, sorting and degradation"
"c09171" "Translation"
"c09206" "Transcription"
"c09261" "Folding, sorting and degradation"
"c09314" "Energy metabolism"
"c09319" "Folding, sorting and degradation"
"c09319" "Transcription"
"c09375" "Metabolism of cofactors and vitamins"
"c09377" "Carbohydrate metabolism"
"c09456" "Metabolism of cofactors and vitamins"
"c09513" "Carbohydrate metabolism"
"c09562" "Signal transduction"
"c09562" "Transport and catabolism"
"c09573" "Glycan biosynthesis and metabolism"
"c09598" "Membrane transport"
"c09599" "Translation"
"c09607" "Replication and repair"
"c09633" "Metabolism of cofactors and vitamins"
"c09662" "Lipid metabolism"
"c09664" "Amino acid metabolism"
"c09667" "Energy metabolism"
"c09723" "Translation"
"c09730" "Energy metabolism"
"c09850" "Translation"
"c09874" "Translation"
"c09918" "Translation"
"c09971" "Energy metabolism"
"c09981" "Transcription"
"c10039" "Translation"
"c10047" "Metabolism of cofactors and vitamins"
"c10057" "Transport and catabolism"
"c10066" "Metabolism of other amino acids"
"c10066" "Xenobiotics biodegradation and metabolism"
"c10088" "Signal transduction"
"c10088" "Metabolism of cofactors and vitamins"
"c10088" "Energy metabolism"
"c10124" "Translation"
"c10125" "Lipid metabolism"
"c10155" "Translation"
"c10163" "Translation"
"c10174" "Carbohydrate metabolism"
"c10212" "Carbohydrate metabolism"
"c10229" "Translation"
"c10229" "Transcription"
"c10238" "Metabolism of other amino acids"
"c10267" "Carbohydrate metabolism"
"c10269" "Energy metabolism"
"c10269" "Membrane transport"
"c10302" "Transport and catabolism"
"c10304" "Energy metabolism"
"c10311" "Membrane transport"
"c10345" "Lipid metabolism"
"c10386" "Translation"
"c10390" "Folding, sorting and degradation"
"c10413" "Metabolism of other amino acids"
"c10413" "Amino acid metabolism"
"c10419" "Translation"
"c10499" "Metabolism of other amino acids"
"c10511" "Translation"
"c10532" "Energy metabolism"
"c10532" "Carbohydrate metabolism"
"c10607" "Translation"
"c10607" "Folding, sorting and degradation"
"c10615" "Folding, sorting and degradation"
"c10639" "Folding, sorting and degradation"
"c10754" "Amino acid metabolism"
"c10754" "Carbohydrate metabolism"
"c10891" "Metabolism of cofactors and vitamins"
"c10907" "Metabolism of cofactors and vitamins"
"c10934" "Membrane transport"
"c10934" "Signal transduction"
"c10976" "Translation"
"c11090" "Carbohydrate metabolism"
"c11168" "Amino acid metabolism"
"c11210" "Translation"
"c11233" "Membrane transport"
"c11334" "Energy metabolism"
"c11382" "Translation"
"c11397" "Energy metabolism"
"c11456" "Energy metabolism"
"c11462" "Transcription"
"c11462" "Translation"
"c11480" "Translation"
"c11530" "Translation"
"c11558" "Translation"
"c11630" "Carbohydrate metabolism"
"c11630" "Xenobiotics biodegradation and metabolism"
"c11630" "Lipid metabolism"
"c11630" "Metabolism of cofactors and vitamins"
"c11814" "Glycan biosynthesis and metabolism"
"c11906" "Xenobiotics biodegradation and metabolism"
"c11906" "Metabolism of other amino acids"
"c11942" "Amino acid metabolism"
"c11980" "Xenobiotics biodegradation and metabolism"
"c12025" "Replication and repair"
"c12139" "Transcription"
"c12244" "Metabolism of cofactors and vitamins"
"c12260" "Xenobiotics biodegradation and metabolism"
"c12260" "Metabolism of other amino acids"
"c12281" "Translation"
"c12403" "Energy metabolism"
"c12506" "Energy metabolism"
"c12544" "Lipid metabolism"
"c12544" "Xenobiotics biodegradation and metabolism"
"c12572" "Lipid metabolism"
"c12573" "Transcription"
"c12576" "Metabolism of terpenoids and polyketides"
"c12626" "Carbohydrate metabolism"
"c12705" "Membrane transport"
"c12781" "Transport and catabolism"
"c12927" "Metabolism of terpenoids and polyketides"
"c13186" "Nucleotide metabolism"
"c13226" "Carbohydrate metabolism"
"c13243" "Energy metabolism"
"c13270" "Amino acid metabolism"
"c13277" "Translation"
"c13297" "Lipid metabolism"
"c13297" "Xenobiotics biodegradation and metabolism"
"c13297" "Amino acid metabolism"
"c13433" "Carbohydrate metabolism"
"c13456" "Glycan biosynthesis and metabolism"
"c13517" "Translation"
"c13525" "Amino acid metabolism"
"c13542" "Transport and catabolism"
"c13544" "Folding, sorting and degradation"
"c13574" "Lipid metabolism"
"c13586" "Carbohydrate metabolism"
"c13596" "Nucleotide metabolism"
"c13598" "Translation"
"c13605" "Lipid metabolism"
"c13674" "Lipid metabolism"
"c13764" "Amino acid metabolism"
"c13764" "Metabolism of cofactors and vitamins"
"c13825" "Nucleotide metabolism"
"c13918" "Folding, sorting and degradation"
"c14005" "Signal transduction"
"c14005" "Membrane transport"
"c14237" "Translation"
"c14317" "Metabolism of cofactors and vitamins"
"c14363" "Translation"
"c14401" "Carbohydrate metabolism"
"c14423" "Amino acid metabolism"
"c14431" "Transport and catabolism"
"c14431" "Membrane transport"
"c14618" "Translation"
"c15023" "Transport and catabolism"
