"id" "model" "y0" "b" "c" "d" "e" "f" "yrange" "trend" "typology" "BMD.zSD" "BMD.zSD.lower" "BMD.zSD.upper"
"c01167" "exponential" 8.51514117915941 0.0305259688102153 NA 8.51514117915941 1.56888364365413 NA 2.05995607642098 "inc" "E.inc.convex" 4.2030304917044 2.36216896940861 5.11617035056114
"c01233" "linear" 7.17948440100302 -0.187987725679979 NA 7.17948440100302 NA NA 1.24654660898394 "dec" "L.dec" 2.36347683903591 1.44403205098749 3.9252538891853
"c01250" "linear" 12.3018744357254 0.431651427722422 NA 12.3018744357254 NA NA 2.86228061722738 "inc" "L.inc" 1.82243493391618 1.24174370341677 2.49632833811788
"c01318" "exponential" 9.30059148841057 -0.0254133605974514 NA 9.30059148841057 1.98233234489253 NA 0.695359918730528 "dec" "E.dec.concave" 5.16990967004882 2.79129890738839 6.07780804732302
"c01370" "linear" 17.3249844409165 0.0946451465978696 NA 17.3249844409165 NA NA 0.627591967090474 "inc" "L.inc" 2.14226464864313 1.32801722238443 3.10370682934898
"c01424" "linear" 11.9883794911578 -0.0660744871286082 NA 11.9883794911578 NA NA 0.438139924149802 "dec" "L.dec" 1.62385409976168 1.10700166871505 2.18139894142743
"c01433" "linear" 7.93716103749278 -0.255287141759196 NA 7.93716103749278 NA NA 1.69280903700523 "dec" "L.dec" 1.98199312189729 1.23000892938259 2.98374007530146
"c01438" "Gauss-probit" 8.50514402837404 1.73307473921497 10.2003331173437 10.2003331173437 1.44881939044886 -2.40422424857961 2.37671734067052 "U" "GP.U" 3.9197822118541 0.501055814192674 4.66488545584956
"c01442" "exponential" 13.0826063612227 -0.459497381212501 NA 13.0826063612227 5.05363248011549 NA 1.24710324613963 "dec" "E.dec.concave" 1.93416383476965 1.06537681571974 3.27141031111558
"c01447" "exponential" 14.4649620569467 -1.2548554216631 NA 14.4649620569467 6.71644638153837 NA 2.11307487771647 "dec" "E.dec.concave" 1.04430555502178 0.63434873495107 1.46386311026275
"c01449" "Gauss-probit" 10.2389236841449 4.46130141299832 3.68139669188142 3.68139669188142 2.56794556251681 7.73901075462051 2.62718532329154 "bell" "GP.bell" 0.733981951823618 0.408909016798461 1.04379670719709
"c01490" "exponential" 8.62137570333466 0.0589097492235758 NA 8.62137570333466 2.22297812771626 NA 1.10430400460556 "inc" "E.inc.convex" 2.71022702584827 1.54365400739675 4.00988869191213
"c01613" "linear" 10.7640181078777 0.0799120938728251 NA 10.7640181078777 NA NA 0.529897094470703 "inc" "L.inc" 2.89653216487416 1.67924743206248 5.23707912983123
"c01616" "Gauss-probit" 15.233309781538 4.74919285696993 17.6358672637278 17.6358672637278 1.43551006422309 -2.51485601800224 1.13244813868645 "U" "GP.U" 3.89904105932866 0.598159249664177 4.32502145078785
"c01629" "Gauss-probit" 9.76860627949404 4.50540261577973 14.4444823810548 11.2906700430282 4.58279555930663 -3.37089943192645 1.11594142553035 "U" "GP.U" 1.20306273707772 0.451805973131816 2.37766728624602
"c01643" "Gauss-probit" 11.7452523154164 4.10080048377115 15.0515709451468 15.0515709451468 1.83877068396089 -3.65597773908274 1.80901794532782 "U" "GP.U" 4.65868820152643 0.535213252487809 4.89911835034107
