"id" "irow" "adjpvalue" "model" "nbpar" "b" "c" "d" "e" "f" "SDres" "typology" "trend" "y0" "yrange" "maxychange" "xextrem" "yextrem" "BMD.zSD" "BMR.zSD" "BMD.xfold" "BMR.xfold" "BMD.zSD.lower" "BMD.zSD.upper" "BMD.xfold.lower" "BMD.xfold.upper" "nboot.successful"
"c01447" 23029 4.28144402556385e-10 "exponential" 3 -1.2548554216631 NA 14.4649620569467 6.71644638153837 NA 0.21109707376351 "E.dec.concave" "dec" 14.4649620569467 2.11307487771647 2.11307487771647 NA NA 1.04430555502178 14.2538649831832 5.14971360395561 13.018465851252 0.650893632348618 1.4477019834611 4.61368653408464 5.66334678748991 498
"c01449" 23118 3.28344099584037e-05 "Gauss-probit" 4 4.46130141299832 3.68139669188142 3.68139669188142 2.56794556251681 7.73901075462051 0.554450775395254 "GP.bell" "bell" 10.2389236841449 2.62718532329154 1.44570156093453 2.56794556251681 11.4204074465019 0.733979708611184 10.7933744595402 1.66298697724624 11.2628160525594 0.396504599210141 1.0210325215056 0.935884812444884 6.20634868224808 304
"c01490" 24280 5.27195334425051e-05 "exponential" 3 0.00315501365967691 NA 8.90615243062009 1.15212722448179 NA 0.211931274974937 "E.inc.convex" "inc" 8.90615243062009 0.993528813554159 0.993528813554159 NA NA 4.86433467487085 9.11808370559503 6.50543560235883 9.7967676736821 2.88603579373972 5.33729520336887 6.05035789678449 Inf 350
"c01613" 28185 0.00535472269685369 "linear" 2 0.0799120938728251 NA 10.7640181078777 NA NA 0.231467950265082 "L.inc" "inc" 10.7640181078777 0.529897094470703 0.529897094470703 NA NA 2.89653216487416 10.9954860581428 NA 11.8404199186655 1.64980574012422 4.7578654292681 Inf Inf 500
"c01616" 28258 1.61904591012823e-06 "exponential" 3 0.0324070158729129 NA 15.1467649660109 1.86130855056897 NA 0.208252900873488 "E.inc.convex" "inc" 15.1467649660109 1.11003386070351 1.11003386070351 NA NA 3.73194200463277 15.3550178668844 NA 16.661441462612 2.10623596130292 4.9747502823738 Inf Inf 481
"c01629" 28787 0.00206411883317306 "Gauss-probit" 5 4.50540261577973 14.4444823810548 11.2906700430282 4.58279555930663 -3.37089943192645 0.307540407777706 "GP.U" "U" 9.76860627949404 1.11594142553035 0.611890771656208 2.90115286598604 9.2645556256199 1.20306287476548 9.46106587171633 NA 10.7454669074434 0.450720399439331 4.9073418726535 5.5351357198027 Inf 291
"c01643" 29361 6.04231781803081e-05 "exponential" 3 0.00108342501603682 NA 11.9235370160811 0.906794026206465 NA 0.447612614229348 "E.inc.convex" "inc" 11.9235370160811 1.62300680145873 1.62300680145873 NA NA 5.46453880174226 12.3711496303105 6.3516074089493 13.1158907176893 2.95611239463748 5.6794780836033 5.14114789708854 6.50721305219036 279
"c01645" 29447 4.92378979982194e-08 "Gauss-probit" 4 2.70165852162863 3.15910106952001 3.15910106952001 1.74191874699244 3.32370272366928 0.411497819219792 "GP.bell" "bell" 5.85902157919797 2.67731373489796 2.05353152090663 1.74191874699244 6.4828037931893 0.760344683580155 6.27051939841776 1.33286281378389 6.44492373711777 0.378282120190587 3.91476354009471 0.641720795237969 4.69216481788469 483
"c01739" 32213 0.000242874019905925 "log-Gauss-probit" 4 0.759790988465743 8.6772914320491 8.6772914320491 1.71082052400305 -1.86962631838671 0.670018387942263 "lGP.U" "U" 8.6772914320491 1.86962631838671 1.86962631838671 1.71082052400305 6.8076651136624 0.576068489488176 8.00727304410684 0.667327372711245 7.80956228884419 0.2832927270534 0.921766424004749 0.371304357234632 1.05672801307946 497
"c01924" 38335 0.000284321631711036 "Gauss-probit" 4 2.44653746672718 11.894336323834 11.894336323834 2.41919263826296 -1.32183675189664 0.248124808754364 "GP.U" "U" 11.0836412337444 1.02149203155452 0.511141661806979 2.41919263826296 10.5724995719374 0.789480908766758 10.83551642499 NA 12.1920053571188 0.451197930415189 1.33693794225746 Inf Inf 405
"c01952" 39007 0.00665092990838147 "exponential" 3 0.000116298189149417 NA 12.4524971768448 0.75909444964358 NA 0.281884699840832 "E.inc.convex" "inc" 12.4524971768448 0.723173933094525 0.723173933094525 NA NA 5.9160089697941 12.7343818766856 NA 13.6977468945293 2.88540036288306 6.02301679943282 Inf Inf 253
"c01977" 39556 6.03421289689743e-05 "exponential" 3 0.0451474375363021 NA 10.3586257140088 1.85330924089898 NA 0.460599868634415 "E.inc.convex" "inc" 10.3586257140088 1.57109254632043 1.57109254632043 NA NA 4.47778717672503 10.8192255826432 5.88558668701792 11.3944882854096 2.32737669363189 5.55409736930868 4.62787732530287 6.44457812388958 428
"c01978" 39589 0.000410315882416329 "exponential" 3 0.0308789235002261 NA 10.9179278087523 1.80604895383207 NA 0.428811808390713 "E.inc.convex" "inc" 10.9179278087523 1.1830584669172 1.1830584669172 NA NA 4.87719921897972 11.346739617143 6.48984314487308 12.0097205896276 2.19497130212826 5.83732934447885 5.2086452739488 Inf 380
"c02004" 40603 0.00187240896451787 "linear" 2 0.09583802641451 NA 11.2948497744688 NA NA 0.204693386586991 "L.inc" "inc" 11.2948497744688 0.635501953154616 0.635501953154616 NA NA 2.13582639631652 11.4995431610558 NA 12.4243347519157 1.39985045054522 3.1165736046643 Inf Inf 500
"c02010" 40836 3.28957486675566e-06 "Gauss-probit" 4 2.47382933081178 11.5666887709273 11.5666887709273 1.57316368433189 -1.12119508642025 0.196870325940029 "GP.U" "U" 10.6507479686396 0.98252688049188 0.777272596359378 1.57316368433189 10.4454936845071 1.27006894515037 10.4538776426996 NA 11.7158227655035 0.467051473500251 4.30392981003449 Inf Inf 481
"c02083" 42840 0.000395955548160075 "linear" 2 -0.136212234714139 NA 10.611515601238 NA NA 0.274935406081475 "L.dec" "dec" 10.611515601238 0.903223328389453 0.903223328389453 NA NA 2.0184340023381 10.3365801951565 NA 9.55036404111418 1.05386556404594 3.36489675148386 5.99914080772089 Inf 500
"c02160" 45443 1.19793753645408e-07 "exponential" 3 0.42913684640267 NA 7.52811547133175 3.3691745047155 NA 0.40223574506788 "E.inc.convex" "inc" 7.52811547133175 2.6423398917355 2.6423398917355 NA NA 2.22804251960364 7.93035121639963 3.41345785416855 8.28092701846493 1.21655972848545 3.42940816276873 2.33329003874199 4.53291270410027 499
"c02216" 47064 0.00472164581282144 "log-Gauss-probit" 4 0.451114114416072 5.78471326302662 5.78471326302662 3.61139988525713 -1.68333765108247 0.529799974203185 "lGP.U" "U" 5.78471326302662 1.68333765108247 1.68333765108247 3.61139988525713 4.10137561194415 1.81875164508154 5.25491328882344 1.8677684035633 5.20624193672396 1.209520678151 2.25496265819911 1.31585390857302 2.3192001374776 496
"c02385" 52143 0.000377561361057814 "exponential" 3 -1.87549570139801 NA 4.83601785581778 -2.39631446743283 NA 0.577559522125561 "E.inc.concave" "inc" 4.83601785581778 1.75763985417185 1.75763985417185 NA NA 0.882077484488623 5.41357737794334 0.714599304687365 5.31961964139956 0.338940209089272 1.90115403008692 0.296209957996197 1.79515963016561 472
"c02486" 52753 2.17102581616717e-05 "exponential" 3 -0.00698002806393423 NA 17.8604531578167 1.26357736425697 NA 0.290223578007409 "E.dec.concave" "dec" 17.8604531578167 1.32025338581142 1.32025338581142 NA NA 4.7401392784807 17.5702295798093 NA 16.0744078420351 2.74155250642566 5.35036571046917 Inf Inf 363
"c02572" 52958 0.00459582093198662 "linear" 2 0.155543673870413 NA 14.7000110941377 NA NA 0.440079316356185 "L.inc" "inc" 14.7000110941377 1.03141010143471 1.03141010143471 NA NA 2.82929742756895 15.1400904104939 NA 16.1700122035515 1.72942685256203 4.94735374698167 6.574719043439 Inf 500
"c02651" 53192 0.000208040330247815 "exponential" 3 0.0449944215427289 NA 7.83011855767491 1.83079459026332 NA 0.524943319183032 "E.inc.convex" "inc" 7.83011855767491 1.63822428476602 1.63822428476602 NA NA 4.64836661503541 8.35506187685794 5.3321566912964 8.6131304134424 2.33640966409336 5.59620169688577 3.32926520231176 6.02134091610746 393
"c02837" 53881 0.000797104920053315 "linear" 2 0.157521030056959 NA 5.66262367161847 NA NA 0.325693431257242 "L.inc" "inc" 5.66262367161847 1.0445219503077 1.0445219503077 NA NA 2.06761872455679 5.98831710287571 3.59483661932053 6.22888603878032 1.30775682803499 3.06190634878899 2.63321348313153 5.18895294104804 500
"c02877" 53976 0.00243234918973564 "linear" 2 -0.141370834861671 NA 12.5354341374654 NA NA 0.385164583932222 "L.dec" "dec" 12.5354341374654 0.937430005967737 0.937430005967737 NA NA 2.72449819164681 12.1502695535332 NA 11.2818907237189 1.68457955140939 4.6751631522099 6.39212967865316 Inf 500
"c02913" 54065 6.08474015149765e-05 "linear" 2 -0.157877517383007 NA 13.5890617644555 NA NA 0.27046287385914 "L.dec" "dec" 13.5890617644555 1.04688581776672 1.04688581776672 NA NA 1.71311836126105 13.3185988905964 NA 12.23015558801 1.08191927090008 2.42852693433115 Inf Inf 500
"c02955" 54166 0.00845588273643626 "linear" 2 0.216637843725958 NA 4.25475688932074 NA NA 0.610551655674551 "L.inc" "inc" 4.25475688932074 1.43652554174683 1.43652554174683 NA NA 2.81830563475736 4.86530854499529 1.96399521715279 4.68023257825282 1.62293690756594 5.97592681186307 1.31683068157169 3.97493058256684 500
"c02964" 54187 0.000368414483480728 "exponential" 3 -1.68647146488211 NA 8.06815829644274 -1.58704241555518 NA 0.578550347865582 "E.inc.concave" "inc" 8.06815829644274 1.66062480131477 1.66062480131477 NA NA 0.666800733415973 8.64670864430832 1.03294754851489 8.87497412608701 0.275258156089862 1.67053743719011 0.448004236140454 2.77837825248133 487
"c03046" 54476 2.87568658133912e-05 "linear" 2 -0.205130401863005 NA 12.3485193198258 NA NA 0.335734983513767 "L.dec" "dec" 12.3485193198258 1.36021969475359 1.36021969475359 NA NA 1.63669051717641 12.012784336312 6.01983870146789 11.1136673878432 1.0795309642362 2.3571861107905 4.87657503366156 Inf 500
"c03076" 54608 0.000103487945061241 "exponential" 3 -0.0288096294296417 NA 11.7739224786601 1.87240934182499 NA 0.248236057235082 "E.dec.concave" "dec" 11.7739224786601 0.965587002694207 0.965587002694207 NA NA 4.23814750323244 11.525686421425 NA 10.5965302307941 2.00031487035558 5.42757684095507 6.53210432268839 Inf 417
"c03087" 54657 2.33529488468747e-05 "exponential" 3 -0.132074620965805 NA 14.8260964032414 2.97858440833344 NA 0.244196641062351 "E.dec.concave" "dec" 14.8260964032414 1.091574044613 1.091574044613 NA NA 3.11840884572871 14.5818997621791 NA 13.3434867629173 1.50959871853607 4.64899333926905 Inf Inf 488
"c03088" 54664 0.00308482112658986 "Gauss-probit" 4 2.14886580062445 11.5968175780445 11.5968175780445 1.82754795142893 -0.868228014406976 0.29736729194926 "GP.U" "U" 10.992074353191 0.796843905115507 0.533359115562092 1.82754795142893 10.7285895636376 4.92427580874793 11.2894416451402 NA 12.0912817885101 0.603842364151117 5.69785254187698 Inf Inf 439
"c03094" 54689 0.00341435551390771 "Gauss-probit" 4 0.591177275814441 3.28117898036482 3.28117898036482 1.70483760992516 1.52286494897172 0.487919533955081 "GP.bell" "bell" 3.30499109848758 1.52286494897172 1.49905283084896 1.70483760992516 4.80404392933654 0.831754581265653 3.79291063244266 0.695263337737587 3.63549020833634 0.527851728476864 1.07781312772243 0.429832687598828 1.00601681551404 466
"c03117" 54788 0.000171521313251839 "exponential" 3 -0.00909359623720497 NA 14.3779672105691 1.42415005521941 NA 0.248578487312498 "E.dec.concave" "dec" 14.3779672105691 0.947789222573158 0.947789222573158 NA NA 4.76252487580041 14.1293887232566 NA 12.9401704895122 2.43190243908225 5.50264581105121 Inf Inf 384
"c03134" 54867 0.000569087770829893 "Gauss-probit" 4 2.1755050172939 15.641094067471 15.641094067471 2.46225352182273 -1.04247229268588 0.225689338545586 "GP.U" "U" 15.091678042781 0.876237598926055 0.493056267995868 2.46225352182273 14.5986217747852 0.787394870347957 14.8659887042354 NA 16.6008458470591 0.483267499354044 1.05603069005554 Inf Inf 423
"c03146" 54920 1.24570282851869e-05 "linear" 2 -0.428848899264851 NA 10.5084376873945 NA NA 0.649247039581669 "L.dec" "dec" 10.5084376873945 2.84369705102523 2.84369705102523 NA NA 1.51392959313789 9.85919064781284 2.45038233872314 9.45759391865506 1.02570208762367 1.9393893597628 2.00659793478662 3.12135210902575 500
"c03147" 54922 0.00418616272668062 "log-Gauss-probit" 5 0.789525897983764 8.1665962745395 11.7426151595461 5.47736919719878 1.45801346059899 0.294101538524864 "lGP.bell" "bell" 11.7426151595461 1.03129870971396 0.714116631057351 2.52968817921593 12.0597972382028 2.08217300384224 12.036716698071 NA 10.5683536435915 0.766471794149802 5.27180591733332 Inf Inf 261
"c03150" 54936 0.000356679546436198 "linear" 2 0.108428529708966 NA 10.944561061648 NA NA 0.207004458897948 "L.inc" "inc" 10.944561061648 0.718989580500157 0.718989580500157 NA NA 1.90913276656587 11.1515655205459 NA 12.0390171678128 1.17918063019549 2.72864619037756 Inf Inf 500
"c03162" 54990 5.25726831218144e-05 "Gauss-probit" 4 1.75595491430227 6.51013288831985 6.51013288831985 2.22775896105796 2.76261852693645 0.66841122305067 "GP.bell" "bell" 7.74553229902691 2.64352689202558 1.52721911622939 2.22775896105796 9.2727514152563 0.712498146928938 8.41394352207758 0.827242482997219 8.5200855289296 0.450764295392245 1.05785062578769 0.598165314012829 1.48354536289747 487
"c03232" 55298 2.54871352552957e-06 "linear" 2 0.214354081175216 NA 8.32930385092259 NA NA 0.310945193868795 "L.inc" "inc" 8.32930385092259 1.42138191227286 1.42138191227286 NA NA 1.45061475929923 8.64024904479138 3.88576872679839 9.16223423601484 0.967990871695447 1.97837440589111 3.14745914444777 5.16904810212602 500
"c03258" 55367 0.000447378589154808 "Gauss-probit" 4 1.79803673066693 8.97817822020163 8.97817822020163 2.18697397355358 1.30931749601527 0.39364195117716 "GP.bell" "bell" 9.60305446811732 1.2475819333373 0.684441248099581 2.18697397355358 10.2874957162169 0.912630032227088 9.99669641929448 NA 8.64274902130559 0.509073538639536 5.14152680424072 1.60433186373766 Inf 466
"c03284" 55434 0.00136536605872341 "linear" 2 -0.367279606786672 NA 9.11193572520387 NA NA 0.841388080928491 "L.dec" "dec" 9.11193572520387 2.43543107260242 2.43543107260242 NA NA 2.29086523014384 8.27054764427538 2.48092612735135 8.20074215268348 1.50525256537805 3.40116947142977 1.95515288638681 3.77373730498913 500
"c03317" 55512 0.000163238552452174 "exponential" 3 -0.0412036797802811 NA 12.1030556655007 2.07911989425624 NA 0.249475431699282 "E.dec.concave" "dec" 12.1030556655007 0.958898877324254 0.958898877324254 NA NA 4.06196069789365 11.8535802338014 NA 10.8927500989506 2.09606998429111 5.21247482680072 Inf Inf 452
"c03319" 55519 0.000110463725417435 "Gauss-probit" 4 2.83793004164185 10.6370078835435 10.6370078835435 2.40227931973928 -4.09224618476685 0.732068563199092 "GP.U" "U" 7.77700860404521 2.7438222997726 1.51157539450408 2.40227931973928 6.54476169877669 0.953175557968276 7.04494004084612 1.02511828972122 6.99930774364069 0.530751892564886 4.685403810196 0.666553386410898 5.09309857527545 359
"c03329" 55542 0.00268041433639757 "linear" 2 -0.0897145576336521 NA 11.7034422480029 NA NA 0.202956743047348 "L.dec" "dec" 11.7034422480029 0.594897231668748 0.594897231668748 NA NA 2.26224983325581 11.5004855049555 NA 10.5330980232026 1.42957110311195 3.59955541466707 Inf Inf 500
"c03346" 55583 0.00895835815572264 "Gauss-probit" 4 2.36152491090547 6.88739294896292 6.88739294896292 2.36562203998328 -2.64723854779056 0.833586689480763 "GP.U" "U" 5.28454729443394 2.12917419253897 1.08478129927739 2.36562203998328 4.24015440117236 1.4035694879443 4.45096060495318 0.810652350761679 4.75609256499055 0.644830191065923 6.45253737894468 0.523761143441178 4.53408541876119 362
"c03358" 55610 0.00136131088892355 "Gauss-probit" 4 2.73223619075116 10.2055855842543 10.2055855842543 2.85550987205108 2.32441949213336 0.412551156447616 "GP.bell" "bell" 11.5518508136834 1.42971238399308 0.978154262704289 2.85550987205108 12.5300050763877 0.815172208246468 11.964401970131 NA 10.3966657323151 0.530463589294155 1.14646251162824 1.68379792200643 Inf 336
"c03392" 55694 7.49908213911668e-05 "linear" 2 -0.13346147487136 NA 13.2867882926201 NA NA 0.235258667380424 "L.dec" "dec" 13.2867882926201 0.884983039871988 0.884983039871988 NA NA 1.7627458980742 13.0515296252397 NA 11.9581094633581 1.14853940079773 2.49137725313247 Inf Inf 500
"c03440" 55810 0.00267916933110764 "linear" 2 -0.113878247787087 NA 13.9590915679192 NA NA 0.269184346311565 "L.dec" "dec" 13.9590915679192 0.755126661076172 0.755126661076172 NA NA 2.36379072862842 13.6899072216076 NA 12.5631824111272 1.54875480761696 3.50286869726946 Inf Inf 500
